date,product_id,product_name,category,regular_price,selling_price,discount_rate,price_change_type,campaign_name,daily_revenue,daily_revenue_original
2025-06-15,1,감성 무드등,조명,39000.0,36270.0,0.07,baseline,정가 운영,378478.25,312000
2025-06-15,2,메모리폼 경추 베개,침실,29000.0,27356.67,0.0567,baseline,정가 운영,227141.73,174000
2025-06-15,3,원목 핸들 머그컵,주방,15000.0,10800.0,0.28,discount,정가 운영,156069.17,105000
2025-06-15,4,무광 세라믹 접시 세트,주방,24000.0,20880.0,0.13,discount,정가 운영,124184.21,120000
2025-06-15,5,북유럽 패브릭 포스터,인테리어,12000.0,11400.0,0.05,baseline,정가 운영,56555.21,60000
2025-06-15,6,대용량 디퓨저,생활,20000.0,18600.0,0.07,baseline,정가 운영,205544.08,200000
2025-06-15,7,아로마 캔들 세트,생활,25000.0,22500.0,0.1,discount,정가 운영,197156.26,175000
2025-06-15,8,무선 미니 가습기,가전,35000.0,32550.0,0.07,baseline,정가 운영,258340.52,210000
2025-06-15,9,탁상용 저소음 선풍기,가전,45000.0,42300.0,0.06,baseline,정가 운영,790268.91,720000
2025-06-15,10,프리미엄 호텔 침구 세트,침실,60000.0,55800.0,0.07,baseline,정가 운영,409024.48,360000
2025-06-16,1,감성 무드등,조명,39000.0,35685.0,0.085,discount,정가 운영,134238.86,117000
2025-06-16,2,메모리폼 경추 베개,침실,29000.0,27163.33,0.0633,baseline,정가 운영,176132.85,145000
2025-06-16,3,원목 핸들 머그컵,주방,15000.0,14100.0,0.06,discount,정가 운영,147488.12,165000
2025-06-16,4,무광 세라믹 접시 세트,주방,24000.0,21120.0,0.12,discount,정가 운영,177232.44,192000
2025-06-16,5,북유럽 패브릭 포스터,인테리어,12000.0,11280.0,0.06,baseline,정가 운영,41878.96,48000
2025-06-16,6,대용량 디퓨저,생활,20000.0,18400.0,0.08,baseline,정가 운영,96500.98,100000
2025-06-16,7,아로마 캔들 세트,생활,25000.0,22750.0,0.09,discount,정가 운영,180757.73,175000
2025-06-16,8,무선 미니 가습기,가전,35000.0,32025.0,0.085,discount,정가 운영,202237.1,175000
2025-06-16,9,탁상용 저소음 선풍기,가전,45000.0,41850.0,0.07,baseline,정가 운영,227794.37,225000
2025-06-16,10,프리미엄 호텔 침구 세트,침실,60000.0,58200.0,0.03,baseline,정가 운영,180893.32,180000
2025-06-17,1,감성 무드등,조명,39000.0,35100.0,0.1,discount,정가 운영,363367.22,312000
2025-06-17,2,메모리폼 경추 베개,침실,29000.0,26970.0,0.07,baseline,정가 운영,211001.22,174000
