date,product_id,product_name,category,regular_price,selling_price,discount_rate,price_change_type,campaign_name,daily_revenue,daily_revenue_original
2025-06-15,1,감성 무드등,조명,39000,39000,0.0,none,정가 운영,312000,312000
2025-06-15,2,메모리폼 경추 베개,침실,29000,29000,0.0,none,정가 운영,174000,174000
2025-06-15,3,원목 핸들 머그컵,주방,15000,15000,0.0,none,정가 운영,105000,105000
2025-06-15,4,무광 세라믹 접시 세트,주방,24000,24000,0.0,none,정가 운영,120000,120000
2025-06-15,5,북유럽 패브릭 포스터,인테리어,12000,12000,0.0,none,정가 운영,60000,60000
2025-06-15,6,대용량 디퓨저,생활,20000,20000,0.0,none,정가 운영,200000,200000
2025-06-15,7,아로마 캔들 세트,생활,25000,25000,0.0,none,정가 운영,175000,175000
2025-06-15,8,무선 미니 가습기,가전,35000,35000,0.0,none,정가 운영,210000,210000
2025-06-15,9,탁상용 저소음 선풍기,가전,45000,45000,0.0,none,정가 운영,720000,720000
2025-06-15,10,프리미엄 호텔 침구 세트,침실,60000,60000,0.0,none,정가 운영,360000,360000
2025-06-16,1,감성 무드등,조명,39000,39000,0.0,none,정가 운영,117000,117000
2025-06-16,2,메모리폼 경추 베개,침실,29000,29000,0.0,none,정가 운영,145000,145000
2025-06-16,3,원목 핸들 머그컵,주방,15000,15000,0.0,none,정가 운영,165000,165000
2025-06-16,4,무광 세라믹 접시 세트,주방,24000,24000,0.0,none,정가 운영,192000,192000
2025-06-16,5,북유럽 패브릭 포스터,인테리어,12000,12000,0.0,none,정가 운영,48000,48000
2025-06-16,6,대용량 디퓨저,생활,20000,20000,0.0,none,정가 운영,100000,100000
2025-06-16,7,아로마 캔들 세트,생활,25000,25000,0.0,none,정가 운영,175000,175000
2025-06-16,8,무선 미니 가습기,가전,35000,35000,0.0,none,정가 운영,175000,175000
2025-06-16,9,탁상용 저소음 선풍기,가전,45000,45000,0.0,none,정가 운영,225000,225000
2025-06-16,10,프리미엄 호텔 침구 세트,침실,60000,60000,0.0,none,정가 운영,180000,180000
2025-06-17,1,감성 무드등,조명,39000,39000,0.0,none,정가 운영,312000,312000
2025-06-17,2,메모리폼 경추 베개,침실,29000,29000,0.0,none,정가 운영,174000,174000
2025-06-17,3,원목 핸들 머그컵,주방,15000,15000,0.0,none,정가 운영,105000,105000
