date,channel,campaign,creative_type,product_id,product_name,category,ad_spend,clicks,conversions,conversion_rate,attributed_revenue,ROAS,coupon_campaign,rating_signal,impressions,click_through_rate,brand_search_term
2025-06-15,Meta,브랜드 퍼포먼스,video,1,감성 무드등,조명,5522.93,55,2,0.0364,87383,1582.19,False,4.383461538461538,1291,0.0426,감성 무드등 Meta
2025-06-15,Google,검색 수요 포착,search,1,감성 무드등,조명,3707.84,56,2,0.0357,68365,1843.8,False,4.383461538461538,531,0.1055,감성 무드등 Google
2025-06-15,Naver,쿠폰 리커버리,coupon_banner,1,감성 무드등,조명,3320.71,34,4,0.1176,167989,5058.83,True,4.383461538461538,602,0.0565,감성 무드등 Naver
2025-06-15,Instagram,브랜드 퍼포먼스,carousel,1,감성 무드등,조명,4139.2,37,4,0.1081,171854,4151.87,False,4.383461538461538,679,0.0545,감성 무드등 Instagram
2025-06-15,Meta,브랜드 퍼포먼스,video,2,메모리폼 경추 베개,침실,2944.19,24,1,0.0417,34208,1161.88,False,4.529230769230768,518,0.0463,메모리폼 경추 베개 Meta
2025-06-15,Google,쿠폰 리커버리,coupon_banner,2,메모리폼 경추 베개,침실,3249.17,38,5,0.1316,164323,5057.39,True,4.529230769230768,609,0.0624,메모리폼 경추 베개 Google
2025-06-15,Naver,브랜드 퍼포먼스,brand_banner,2,메모리폼 경추 베개,침실,1853.3,12,0,0.0,0,0.0,False,4.529230769230768,162,0.0741,메모리폼 경추 베개 Naver
2025-06-15,Instagram,브랜드 퍼포먼스,influencer,2,메모리폼 경추 베개,침실,1671.68,8,0,0.0,0,0.0,False,4.529230769230768,211,0.0379,메모리폼 경추 베개 Instagram
2025-06-15,Meta,쿠폰 리커버리,coupon_banner,3,원목 핸들 머그컵,주방,1117.67,11,0,0.0,0,0.0,True,4.162307692307692,183,0.0601,원목 핸들 머그컵 Meta
2025-06-15,Google,검색 수요 포착,shopping,3,원목 핸들 머그컵,주방,1476.96,19,0,0.0,0,0.0,False,4.162307692307692,268,0.0709,원목 핸들 머그컵 Google
2025-06-15,Naver,브랜드 퍼포먼스,brand_banner,3,원목 핸들 머그컵,주방,2153.5,11,1,0.0909,13153,610.77,False,4.162307692307692,174,0.0632,원목 핸들 머그컵 Naver
2025-06-15,Instagram,브랜드 퍼포먼스,carousel,3,원목 핸들 머그컵,주방,900.0,18,0,0.0,0,0.0,False,4.162307692307692,284,0.0634,원목 핸들 머그컵 Instagram
2025-06-15,Meta,브랜드 퍼포먼스,carousel,4,무광 세라믹 접시 세트,주방,1482.67,11,0,0.0,0,0.0,False,3.708076923076923,226,0.0487,무광 세라믹 접시 세트 Meta
