date,product_id,product_name,category,quantity_sold,revenue,orders
2025-06-15,1,감성 무드등,조명,8,312000,6
2025-06-15,2,메모리폼 경추 베개,침실,6,174000,4
2025-06-15,3,원목 핸들 머그컵,주방,7,105000,4
2025-06-15,4,무광 세라믹 접시 세트,주방,5,120000,3
2025-06-15,5,북유럽 패브릭 포스터,인테리어,5,60000,4
2025-06-15,6,대용량 디퓨저,생활,10,200000,8
2025-06-15,7,아로마 캔들 세트,생활,7,175000,5
2025-06-15,8,무선 미니 가습기,가전,6,210000,5
2025-06-15,9,탁상용 저소음 선풍기,가전,16,720000,14
2025-06-15,10,프리미엄 호텔 침구 세트,침실,6,360000,5
2025-06-16,1,감성 무드등,조명,3,117000,3
2025-06-16,2,메모리폼 경추 베개,침실,5,145000,4
2025-06-16,3,원목 핸들 머그컵,주방,11,165000,11
2025-06-16,4,무광 세라믹 접시 세트,주방,8,192000,7
2025-06-16,5,북유럽 패브릭 포스터,인테리어,4,48000,2
2025-06-16,6,대용량 디퓨저,생활,5,100000,4
2025-06-16,7,아로마 캔들 세트,생활,7,175000,4
2025-06-16,8,무선 미니 가습기,가전,5,175000,4
2025-06-16,9,탁상용 저소음 선풍기,가전,5,225000,3
2025-06-16,10,프리미엄 호텔 침구 세트,침실,3,180000,1
2025-06-17,1,감성 무드등,조명,8,312000,5
2025-06-17,2,메모리폼 경추 베개,침실,6,174000,5
2025-06-17,3,원목 핸들 머그컵,주방,7,105000,5
2025-06-17,4,무광 세라믹 접시 세트,주방,10,240000,10
2025-06-17,5,북유럽 패브릭 포스터,인테리어,2,24000,1
2025-06-17,6,대용량 디퓨저,생활,8,160000,8
2025-06-17,7,아로마 캔들 세트,생활,5,125000,3
2025-06-17,8,무선 미니 가습기,가전,6,210000,3
2025-06-17,9,탁상용 저소음 선풍기,가전,10,450000,7
2025-06-17,10,프리미엄 호텔 침구 세트,침실,2,120000,2
2025-06-18,1,감성 무드등,조명,6,234000,6
2025-06-18,2,메모리폼 경추 베개,침실,7,203000,6
2025-06-18,3,원목 핸들 머그컵,주방,12,180000,9
2025-06-18,4,무광 세라믹 접시 세트,주방,7,168000,5
2025-06-18,5,북유럽 패브릭 포스터,인테리어,6,72000,6
2025-06-18,6,대용량 디퓨저,생활,11,220000,10
2025-06-18,7,아로마 캔들 세트,생활,7,175000,7
2025-06-18,8,무선 미니 가습기,가전,5,175000,2
2025-06-18,9,탁상용 저소음 선풍기,가전,12,540000,12
2025-06-18,10,프리미엄 호텔 침구 세트,침실,6,360000,6
2025-06-19,1,감성 무드등,조명,7,273000,4
2025-06-19,2,메모리폼 경추 베개,침실,5,145000,2
2025-06-19,3,원목 핸들 머그컵,주방,10,150000,7
2025-06-19,4,무광 세라믹 접시 세트,주방,8,192000,8
